Date, Sleep Time, Wake Time, Hours,Note
12/20/13,02:26,08:46,6.33,
12/19/13,01:46,09:45,7.98,
12/18/13,01:21,08:34,7.21,
12/17/13,00:53,07:26,6.55,
12/16/13,00:54,07:25,6.51,
12/15/13,00:59,09:49,8.83,
12/14/13,02:01,09:39,7.63,
12/13/13,00:41,09:25,8.73,
12/12/13,02:24,10:23,7.98,
12/11/13,00:56,06:40,5.73,
12/10/13,01:49,07:05,5.26,
12/09/13,00:31,07:25,6.9,
12/08/13,00:15,06:44,6.48,
12/07/13,00:33,08:48,8.25,
12/06/13,23:56,05:51,5.91,
12/05/13,09:14,10:06,0.86,
12/05/13,23:42,00:34,0.86,
12/04/13,01:45,06:20,4.58,
12/02/13,02:23,06:34,4.18,
12/01/13,01:48,06:25,4.61,
11/30/13,07:01,09:02,2.01,
11/30/13,01:50,05:43,3.88,
11/29/13,09:43,10:57,1.23,
11/29/13,03:39,05:47,2.13,
11/28/13,05:46,10:04,4.3,
11/28/13,00:27,05:42,5.25,
11/27/13,06:01,08:30,2.48,
11/26/13,01:09,08:11,7.03,
11/25/13,01:39,06:31,4.86,
11/23/13,01:33,09:30,7.95,جمعه
11/22/13,04:27,13:08,8.68,
11/21/13,02:45,10:48,8.05,5shanbe
11/20/13,20:30,04:19,7.81,
