Date, Sleep Time, Wake Time, Hours,Note
01/13/14,02:20,05:15,2.91,
01/12/14,03:16,09:19,6.05,
01/11/14,02:14,06:15,4.01,
01/10/14,02:00,07:00,5.0,
01/09/14,02:06,08:05,5.98,
01/08/14,00:43,09:43,9.0,
01/07/14,02:33,08:09,5.6,
01/06/14,00:30,06:45,6.25,
01/05/14,01:28,06:30,5.03,
01/04/14,01:53,08:07,6.23,
01/03/14,03:51,10:10,6.31,
01/02/14,01:25,09:59,8.56,
01/01/14,00:42,06:36,5.9,
12/31/13,01:22,09:55,8.55,
12/30/13,00:46,08:26,7.66,
12/29/13,00:48,06:51,6.05,
12/28/13,04:45,08:59,4.23,
12/27/13,07:01,10:50,3.81,
12/26/13,00:02,06:52,6.83,
12/25/13,00:14,06:15,6.01,
12/24/13,00:32,09:02,8.5,
12/23/13,02:44,09:21,6.61,
12/22/13,01:30,09:48,8.3,
12/21/13,01:23,06:43,5.33,
12/20/13,02:26,08:46,6.33,
12/19/13,01:46,09:45,7.98,
12/18/13,01:21,08:34,7.21,
12/17/13,00:53,07:26,6.55,
12/16/13,00:54,07:25,6.51,
12/15/13,00:59,09:49,8.83,
12/14/13,02:01,09:39,7.63,
12/13/13,00:41,09:25,8.73,
